Nombre y Apellidos; Nombre Abreviado; Nacionalidad; Fecha de Nacimiento; Relevancia; Sexo; Áreas Destacadas(1); Áreas Destacadas(2); Áreas Destacadas(3); Enlace;Origen
Albert Einstein; aeinstein; Alemán; 1879/03/14; Desarrolló la teoría de la relatividad, revolucionando la física moderna.; Masculino; Física; Matemáticas;; https://es.wikipedia.org/wiki/Albert_Einstein;chatgpt
Marie Curie; mcurie; Polaca; 1867/11/07; Primera mujer en ganar un Nobel y descubrir la radiactividad.; Femenino; Física; Química;; https://es.wikipedia.org/wiki/Marie_Curie;chatgpt
Mahatma Gandhi; mgandhi; Indio; 1869/10/02; Lideró la independencia india mediante la resistencia no violenta.; Masculino; Política; Derechos Humanos;; https://es.wikipedia.org/wiki/Mahatma_Gandhi;chatgpt
Ada Lovelace; alovelace; Británica; 1815/12/10; Pionera de la programación, desarrolló el primer algoritmo.; Femenino; Matemáticas; Ciencias de la Computación;; https://es.wikipedia.org/wiki/Ada_Lovelace;chatgpt
Leonardo da Vinci; ldavinci; Italiano; 1452/04/15; Artista e inventor renacentista, autor de la "Mona Lisa".; Masculino; Arte; Ingeniería;; https://es.wikipedia.org/wiki/Leonardo_da_Vinci;chatgpt
Isaac Newton; inewton; Británico; 1643/01/04; Formuló las leyes del movimiento y la gravitación universal.; Masculino; Física; Matemáticas;; https://es.wikipedia.org/wiki/Isaac_Newton;chatgpt
Cleopatra VII; cleopatra; Egipcia; -69/01/01; Última faraona de Egipto, conocida por su influencia política.; Femenino; Política; Historia;; https://es.wikipedia.org/wiki/Cleopatra_VII;chatgpt
Nelson Mandela; nmandela; Sudafricano; 1918/07/18; Lideró la lucha contra el apartheid y fue el primer presidente negro de Sudáfrica.; Masculino; Política; Derechos Humanos;; https://es.wikipedia.org/wiki/Nelson_Mandela;chatgpt
Frida Kahlo; fkahlo; Mexicana; 1907/07/06; Pintora icónica conocida por su arte autobiográfico y su impacto cultural.; Femenino; Arte; Activismo;; https://es.wikipedia.org/wiki/Frida_Kahlo;chatgpt
Socrates; socrates; Griego; -470/01/01; Filósofo clásico, padre de la filosofía occidental.; Masculino; Filosofía; Ética;; https://es.wikipedia.org/wiki/Sócrates;chatgpt
Galileo Galilei; ggalilei; Italiano; 1564/02/15; Padre de la astronomía moderna y defensor del heliocentrismo.; Masculino; Astronomía; Física;; https://es.wikipedia.org/wiki/Galileo_Galilei;chatgpt
Simón Bolívar; sbolivar; Venezolano; 1783/07/24; Libertador de varios países sudamericanos del dominio español.; Masculino; Política; Militar;; https://es.wikipedia.org/wiki/Simón_Bolívar;chatgpt
Florence Nightingale; fnight; Británica; 1820/05/12; Pionera de la enfermería moderna y reformadora de la salud pública.; Femenino; Medicina; Derechos Humanos;; https://es.wikipedia.org/wiki/Florence_Nightingale;chatgpt
Malala Yousafzai; myousafzai; Pakistaní; 1997/07/12; Activista por la educación y la persona más joven en ganar el Nobel de la Paz.; Femenino; Educación; Derechos Humanos;; https://es.wikipedia.org/wiki/Malala_Yousafzai;chatgpt
Thomas Edison; tedison; Estadounidense; 1847/02/11; Inventor prolífico conocido por la bombilla y el fonógrafo.; Masculino; Ingeniería; Innovación;; https://es.wikipedia.org/wiki/Thomas_Edison;chatgpt
Catherine the Great; cgreat; Rusa; 1729/05/02; Zarina que modernizó y expandió el Imperio ruso.; Femenino; Política; Historia;; https://es.wikipedia.org/wiki/Catalina_II_de_Rusia;chatgpt
Martin Luther King Jr.; mlkingjr; Estadounidense; 1929/01/15; Líder en el movimiento por los derechos civiles en EE. UU.; Masculino; Derechos Humanos; Política;; https://es.wikipedia.org/wiki/Martin_Luther_King_Jr.;chatgpt
Joan of Arc; joanofarc; Francesa; 1412/01/06; Heroína nacional de Francia y líder militar en la Guerra de los Cien Años.; Femenino; Militar; Religión;; https://es.wikipedia.org/wiki/Joan_of_Arc;chatgpt
Confucio; confucio; Chino; -551/09/28; Filósofo cuyas enseñanzas influyen la ética y política asiáticas.; Masculino; Filosofía; Ética;; https://es.wikipedia.org/wiki/Confucio;chatgpt
Emmeline Pankhurst; epankhurst; Británica; 1858/07/15; Líder del movimiento sufragista que aseguró el voto femenino en Reino Unido.; Femenino; Política; Activismo;; https://es.wikipedia.org/wiki/Emmeline_Pankhurst;chatgpt
Abraham Lincoln; alincoln; Estadounidense; 1809/02/12; Abolió la esclavitud en EE. UU. y lideró durante la Guerra Civil.; Masculino; Política; Derecho;; https://es.wikipedia.org/wiki/Abraham_Lincoln;chatgpt
Elizabeth I; elizabeth1; Inglesa; 1533/09/07; Reina que consolidó el protestantismo y el poder naval de Inglaterra.; Femenino; Política; Historia;; https://es.wikipedia.org/wiki/Isabel_I_de_Inglaterra;chatgpt
Napoleón Bonaparte; nbonaparte; Francés; 1769/08/15; General y emperador que cambió el mapa político de Europa.; Masculino; Militar; Política;; https://es.wikipedia.org/wiki/Napoleón_Bonaparte;chatgpt
Rosa Parks; rparks; Estadounidense; 1913/02/04; Figura clave del movimiento por los derechos civiles en EE. UU.; Femenino; Activismo; Derechos Humanos;; https://es.wikipedia.org/wiki/Rosa_Parks;chatgpt
Alexander Fleming; afleming; Escocés; 1881/08/06; Descubridor de la penicilina, revolucionó la medicina moderna.; Masculino; Medicina; Biología;; https://es.wikipedia.org/wiki/Alexander_Fleming;chatgpt
Boudica; boudica; Británica;-30/01/01; Reina guerrera que lideró una rebelión contra el Imperio romano.; Femenino; Militar; Historia;; https://es.wikipedia.org/wiki/Boudica;chatgpt
Genghis Khan; genghiskhan; Mongol; 1162/01/01; Fundador del Imperio mongol, el más grande de la historia.; Masculino; Militar; Estrategia;; https://es.wikipedia.org/wiki/Gengis_Kan;chatgpt
Harriet Tubman; htubman; Estadounidense; 1822/01/01; Líder abolicionista que ayudó a escapar a cientos de esclavos.; Femenino; Activismo; Derechos Humanos;; https://es.wikipedia.org/wiki/Harriet_Tubman;chatgpt
Nikola Tesla; ntesla; Serbio; 1856/07/10; Inventor clave en el desarrollo de la electricidad de corriente alterna.; Masculino; Ingeniería; Innovación;; https://es.wikipedia.org/wiki/Nikola_Tesla;chatgpt
Amelia Earhart; aearhart; Estadounidense; 1897/07/24; Aviadora pionera y primera mujer en cruzar el Atlántico en solitario.; Femenino; Aviación; Exploración;; https://es.wikipedia.org/wiki/Amelia_Earhart;chatgpt
Wolfgang Amadeus Mozart; wamozart; Austriaco; 1756/01/27;Compositor prolífico del clasicismo con obras icónicas como "La flauta mágica".; Masculino; Música; Composición;; https://es.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart;chatgpt
Emiliano Zapata; ezapata; Mexicano; 1879/08/08; Revolucionario mexicano, símbolo de la reforma agraria.; Masculino; Política; Reforma Agraria;; https://es.wikipedia.org/wiki/Emiliano_Zapata;chatgpt
Simón Bolívar; sbolivar; Venezolano; 1783/07/24; Libertador de varios países sudamericanos del dominio español.; Masculino; Política; Militar;; https://es.wikipedia.org/wiki/Simón_Bolívar;chatgpt
José de San Martín; jsanmartin; Argentino; 1778/02/25; Libertador de Argentina, Chile y Perú en las guerras de independencia.; Masculino; Militar; Política;; https://es.wikipedia.org/wiki/José_de_San_Martín;chatgpt
Frida Kahlo; fkahlo; Mexicana; 1907/07/06; Pintora icónica conocida por su arte autobiográfico y su impacto cultural.; Femenino; Arte; Activismo;; https://es.wikipedia.org/wiki/Frida_Kahlo;chatgpt
Gabriel García Márquez; ggarciamarq; Colombiano; 1927/03/06;Escritor y Nobel de Literatura, autor de "Cien años de soledad".; Masculino; Literatura; Periodismo;; https://es.wikipedia.org/wiki/Gabriel_García_Márquez;chatgpt
Benito Juárez; bjuarez; Mexicano; 1806/03/21; Presidente que promovió reformas liberales y la separación Iglesia-Estado.; Masculino; Política; Derecho;; https://es.wikipedia.org/wiki/Benito_Juárez;chatgpt
Eva Perón; everon; Argentina; 1919/05/07; Líder política y activista por los derechos de los trabajadores y las mujeres.; Femenino; Política; Activismo;; https://es.wikipedia.org/wiki/Eva_Perón;chatgpt
Rigoberta Menchú; rmenchu; Guatemalteca; 1959/01/09; Activista indígena y Nobel de la Paz por su lucha por los derechos humanos.; Femenino; Derechos Humanos; Activismo;; https://es.wikipedia.org/wiki/Rigoberta_Menchú;chatgpt
Diego Rivera; drivera; Mexicano; 1886/12/08; Muralista reconocido por su contribución al arte moderno mexicano.; Masculino; Arte; Cultura;; https://es.wikipedia.org/wiki/Diego_Rivera;chatgpt
Che Guevara; cheguevara; Argentino; 1928/06/14; Revolucionario y líder en la Revolución cubana.; Masculino; Política; Historia;; https://es.wikipedia.org/wiki/Che_Guevara;chatgpt
Sor Juana Inés de la Cruz; sorjuana; Mexicana; 1648/11/12; Escritora y filósofa del Siglo de Oro, defensora de los derechos de las mujeres.; Femenino; Literatura; Filosofía;; https://es.wikipedia.org/wiki/Sor_Juana_Inés_de_la_Cruz;chatgpt
Alan Turing; aturing; Británico; 1912/06/23; Pionero en informática teórica y descifrador del código Enigma.; Masculino; Matemáticas; Ciencias de la Computación;; https://es.wikipedia.org/wiki/Alan_Turing;chatgpt
John von Neumann; jvneumann; Húngaro-Estadounidense; 1903/12/28; Diseñó la arquitectura de las computadoras modernas.; Masculino; Matemáticas; Ciencias de la Computación;; https://es.wikipedia.org/wiki/John_von_Neumann;chatgpt
Grace Hopper; ghopper; Estadounidense; 1906/12/09; Inventora del primer compilador y figura clave en el desarrollo de COBOL.; Femenino; Ciencias de la Computación; Ingeniería;; https://es.wikipedia.org/wiki/Grace_Hopper;chatgpt
Steve Jobs; sjobs; Estadounidense; 1955/02/24; Fundador de Apple, revolucionó la tecnología personal.; Masculino; Innovación; Tecnología;; https://es.wikipedia.org/wiki/Steve_Jobs;chatgpt
Bill Gates; bgates; Estadounidense; 1955/10/28; Cofundador de Microsoft y líder en la revolución del software.; Masculino; Innovación; Tecnología;; https://es.wikipedia.org/wiki/Bill_Gates;chatgpt
Linus Torvalds; ltorvalds; Finlandés; 1969/12/28; Creador del kernel de Linux, fundamental en la tecnología moderna.; Masculino; Ingeniería; Ciencias de la Computación;; https://es.wikipedia.org/wiki/Linus_Torvalds;chatgpt
Margaret Hamilton; mhamilton; Estadounidense; 1936/08/17; Desarrolló el software de vuelo del Programa Apolo.; Femenino; Ciencias de la Computación; Ingeniería;; https://es.wikipedia.org/wiki/Margaret_Hamilton_(científica_computacional);chatgpt
Tim Berners-Lee; tbernerslee; Británico; 1955/06/08; Inventor de la World Wide Web, transformó la comunicación digital.; Masculino; Ciencias de la Computación; Innovación;; https://es.wikipedia.org/wiki/Tim_Berners-Lee;chatgpt
Dennis Ritchie; dritchie; Estadounidense; 1941/09/09; Creador del lenguaje de programación C y cofundador de UNIX.; Masculino; Ciencias de la Computación; Ingeniería;; https://es.wikipedia.org/wiki/Dennis_Ritchie;chatgpt
William Shakespeare; WSHAKESPEARE; Inglés; 1564/04/26; Dramaturgo y poeta considerado uno de los más grandes escritores; Masculino; Literatura; Teatro; Poesía; https://www.lifeder.com/personajes-historicos/;copilot
Marie Antoinette; MANTOINETTE; Austríaca; 1755/11/02; Reina de Francia conocida por su trágico destino durante la Revolución Francesa; Femenino; Política; Historia; Cultura; https://www.lifeder.com/personajes-historicos/;copilot
Charles Darwin; CDARWIN; Inglés; 1809/02/12; Naturalista que desarrolló la teoría de la evolución por selección natural; Masculino; Biología; Geología; Ciencia; https://www.lifeder.com/personajes-historicos/;copilot
